car_id,mileage_km,capacity_ah,soh_pct,health_label,anomaly_flag,ki_mean,dod_mean,t_avg_c,c_rate_mean,snippet_count,ki_mean_norm,dod_mean_norm,t_avg_c_norm,c_rate_mean_norm,FSI
2,187433.4528,37.679,81.5,Degraded,0,0.0221,0.0023,15.11,0.4526,5556,0.0747,0.1389,0.7669,0.9578,0.4404
3,213731.6544,40.457,87.51,Degraded,0,0.021,0.0024,14.1,0.4659,3729,0.0665,0.1528,0.6548,1.0,0.4218
4,193132.1568,39.622,85.71,Degraded,0,0.0158,0.002,15.85,0.3688,5222,0.0276,0.0972,0.8491,0.6916,0.3832
5,158983.12320000003,38.966,84.29,Degraded,0,0.0189,0.0028,12.25,0.4243,2784,0.0508,0.2083,0.4495,0.8679,0.3533
6,159770.4768,39.71,85.9,Degraded,0,0.0202,0.0023,13.24,0.4501,3366,0.0605,0.1389,0.5594,0.9498,0.3827
7,192568.56960000002,41.535,89.84,Degraded,0,0.0229,0.002,13.23,0.4349,1782,0.0807,0.0972,0.5583,0.9015,0.3684
11,233019.4944,38.085,82.38,Degraded,1,0.0945,0.0019,13.74,0.3951,4453,0.6154,0.0833,0.6149,0.7751,0.5142
14,159933.84,41.485,89.74,Degraded,0,0.0186,0.0021,15.15,0.4098,6290,0.0485,0.1111,0.7714,0.8218,0.3995
16,178666.32960000003,42.137,91.15,Healthy,0,0.0185,0.003,15.34,0.4066,7086,0.0478,0.2361,0.7925,0.8116,0.4338
17,178304.4384,43.554,94.21,Healthy,0,0.0189,0.0024,17.09,0.2795,1693,0.0508,0.1528,0.9867,0.4079,0.3817
18,160927.4304,40.686,88.01,Degraded,0,0.043,0.0021,13.66,0.4289,3827,0.2308,0.1111,0.606,0.8825,0.425
20,169805.1168,42.383,91.68,Healthy,0,0.0211,0.003,13.89,0.4042,1709,0.0672,0.2361,0.6315,0.804,0.3979
21,177414.7584,38.257,82.75,Degraded,0,0.0121,0.0013,12.6,0.2008,3050,0.0,0.0,0.4883,0.1579,0.1537
23,223264.0608,41.86,90.55,Healthy,0,0.0196,0.0026,14.67,0.463,5992,0.056,0.1806,0.7181,0.9908,0.4396
24,181571.0688,37.287,80.66,Degraded,0,0.0318,0.0021,16.0,0.3933,3129,0.1471,0.1111,0.8657,0.7694,0.4422
25,165368.544,41.539,89.85,Degraded,0,0.0169,0.0022,11.6,0.1663,6543,0.0358,0.125,0.3774,0.0483,0.146
27,183283.4784,40.235,87.03,Degraded,0,0.0274,0.0019,13.24,0.4632,1063,0.1143,0.0833,0.5594,0.9914,0.3932
