Source,Current_Mode,Dataset,ID,Sequence,Q_discharge_Ah,Q_nominal_Ah,SoH_%,DoD_%,CapFade_%,dSoH_per_cycle,EFC,Health_Label,C_rate_mean,C_rate_peak,T_avg_C,T_stress_norm,KI,KI_Source,RPA_ms2,CVI,RBF,DCSS,DCSS_Source,DCSS_Band,FSI,FSI_Source,FSI_Severity,Drive_Profile_Label,Fleet_DCSS_Equivalent,Profile_Rationale,Degradation_Driver,Expected_dSoH_from_FSI,Trip_ID,Distance_km,Drive_Time_min
Lab,Constant Current (CC),NASA,B0005,1,1.8565,2.0,92.82,92.82,7.18,0.0,0.93,Healthy,0.909,1.009,32.57,0.5428,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4687,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,3,1.8463,2.0,92.32,92.32,7.68,-0.5,2.77,Healthy,0.909,1.008,32.73,0.5455,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.468,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,5,1.8353,2.0,91.77,91.77,8.23,-0.55,4.59,Healthy,0.908,1.008,32.64,0.544,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4663,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,7,1.8353,2.0,91.76,91.76,8.24,-0.01,6.42,Healthy,0.913,1.008,32.51,0.5418,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4657,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,9,1.8346,2.0,91.73,91.73,8.27,-0.03,8.26,Healthy,0.913,1.009,32.38,0.5397,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4651,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,11,1.8357,2.0,91.78,91.78,8.22,0.05,10.1,Healthy,0.908,1.008,32.43,0.5405,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4654,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,13,1.8351,2.0,91.76,91.76,8.24,-0.02,11.93,Healthy,0.908,1.008,32.48,0.5413,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4655,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,15,1.8258,2.0,91.29,91.29,8.71,-0.47,13.69,Healthy,0.922,1.008,32.41,0.5402,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4641,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,17,1.8248,2.0,91.24,91.24,8.76,-0.05,15.51,Healthy,0.927,1.009,32.35,0.5392,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4638,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
Lab,Constant Current (CC),NASA,B0005,19,1.8246,2.0,91.23,91.23,8.77,-0.01,17.33,Healthy,0.927,1.008,32.28,0.538,0.0,N/A - CC test has no kinetic events (KI=0 by definition),,0.0,0.0,0.4194,Mapped from Fleet DNA percentile matching profile label,Moderate,0.4634,0.30xKI + 0.25xDoD + 0.25xT + 0.20xC_peak (KI=0 for CC),Moderate,HWFET_like,"Low-Moderate (DCSS~0.42, p25 Fleet DNA)","NASA: 1C constant discharge ~ highway cruise (low KI, HWFET p25 fleet)",Primary: temperature (avg 32C) + capacity fade from 168 cycles; KI=0 (CC),,,,
