Source,Dataset,ID,Cycle,Chemistry,Profile,FSI,KI,DoD_%,T_avg_C,T_stress_norm,C_peak_norm,DCSS,RBF,CVI,SoH_%,Q_Ah,Health_Label
External,NASA_B0005,B0005,1,LiCoO2,CC,0.5418,0.3263,92.82,32.57,0.04,1.009,0.5935,1.8187,0.236,100.0,1.8565,Healthy
External,NASA_B0005,B0005,2,LiCoO2,CC,0.5407,0.3273,92.32,32.73,0.04,1.0084,0.5952,1.8176,0.2348,99.45,1.8463,Healthy
External,NASA_B0005,B0005,3,LiCoO2,CC,0.5396,0.3283,91.77,32.64,0.04,1.0083,0.5965,1.8165,0.2275,98.86,1.8353,Healthy
External,NASA_B0005,B0005,4,LiCoO2,CC,0.5369,0.3195,91.76,32.51,0.04,1.008,0.5835,1.8256,0.2327,98.86,1.8353,Healthy
External,NASA_B0005,B0005,5,LiCoO2,CC,0.5369,0.3194,91.73,32.38,0.04,1.0087,0.5835,1.8261,0.2367,98.82,1.8346,Healthy
External,NASA_B0005,B0005,6,LiCoO2,CC,0.5396,0.3283,91.78,32.43,0.04,1.0081,0.5967,1.8169,0.2393,98.88,1.8357,Healthy
External,NASA_B0005,B0005,7,LiCoO2,CC,0.5394,0.3282,91.76,32.48,0.04,1.0079,0.5965,1.8168,0.2425,98.85,1.8351,Healthy
External,NASA_B0005,B0005,8,LiCoO2,CC,0.5305,0.3021,91.29,32.41,0.04,1.0083,0.5574,1.8444,0.2273,98.34,1.8258,Healthy
External,NASA_B0005,B0005,9,LiCoO2,CC,0.5277,0.2924,91.24,32.35,0.04,1.0092,0.5425,1.8541,0.2325,98.29,1.8248,Healthy
External,NASA_B0005,B0005,10,LiCoO2,CC,0.5274,0.2924,91.23,32.28,0.04,1.008,0.5423,1.8537,0.2367,98.28,1.8246,Healthy
External,NASA_B0005,B0005,11,LiCoO2,CC,0.5245,0.2826,91.23,32.16,0.04,1.008,0.5267,1.8634,0.2431,98.28,1.8246,Healthy
External,NASA_B0005,B0005,12,LiCoO2,CC,0.5204,0.2731,90.71,32.36,0.04,1.0084,0.5117,1.873,0.2289,97.72,1.8142,Healthy
External,NASA_B0005,B0005,13,LiCoO2,CC,0.5171,0.2624,90.69,32.32,0.04,1.0082,0.4943,1.8827,0.2346,97.7,1.8138,Healthy
External,NASA_B0005,B0005,14,LiCoO2,CC,0.517,0.2624,90.67,32.16,0.04,1.0079,0.4943,1.8826,0.2379,97.68,1.8134,Healthy
External,NASA_B0005,B0005,15,LiCoO2,CC,0.5162,0.2632,90.13,32.04,0.04,1.0097,0.4954,1.8818,0.2239,97.1,1.8026,Healthy
External,NASA_B0005,B0005,16,LiCoO2,CC,0.5125,0.2519,90.11,31.93,0.04,1.0082,0.477,1.8923,0.228,97.07,1.8021,Healthy
External,NASA_B0005,B0005,17,LiCoO2,CC,0.509,0.2402,90.13,31.94,0.04,1.0082,0.4571,1.9028,0.233,97.1,1.8026,Healthy
External,NASA_B0005,B0005,18,LiCoO2,CC,0.5055,0.2278,90.15,31.97,0.04,1.0091,0.4359,1.9133,0.2387,97.12,1.8031,Healthy
External,NASA_B0005,B0005,19,LiCoO2,CC,0.5054,0.2279,90.14,31.97,0.04,1.0085,0.4362,1.9132,0.2415,97.11,1.8028,Healthy
External,NASA_B0005,B0005,20,LiCoO2,CC,0.5298,0.2909,92.35,32.37,0.04,1.0084,0.5401,1.8555,0.2342,99.49,1.847,Healthy
External,NASA_B0005,B0005,21,LiCoO2,CC,0.5238,0.2708,92.37,32.7,0.04,1.0081,0.5079,1.8747,0.2442,99.51,1.8474,Healthy
External,NASA_B0005,B0005,22,LiCoO2,CC,0.5227,0.2715,91.81,32.32,0.04,1.0084,0.509,1.8739,0.2331,98.91,1.8362,Healthy
External,NASA_B0005,B0005,23,LiCoO2,CC,0.5183,0.2616,91.29,31.99,0.04,1.008,0.493,1.8833,0.2248,98.35,1.8258,Healthy
External,NASA_B0005,B0005,24,LiCoO2,CC,0.5215,0.2723,91.26,31.89,0.04,1.0086,0.5105,1.8733,0.2307,98.31,1.8251,Healthy
External,NASA_B0005,B0005,25,LiCoO2,CC,0.5078,0.2265,91.28,31.78,0.04,1.0081,0.4337,1.914,0.2385,98.34,1.8256,Healthy
External,NASA_B0005,B0005,26,LiCoO2,CC,0.5103,0.2395,90.7,31.69,0.04,1.0084,0.4561,1.9031,0.2237,97.71,1.814,Healthy
External,NASA_B0005,B0005,27,LiCoO2,CC,0.5075,0.2272,90.74,31.6,0.04,1.0123,0.4349,1.9135,0.234,97.75,1.8148,Healthy
External,NASA_B0005,B0005,28,LiCoO2,CC,0.5067,0.2273,90.7,31.57,0.04,1.0086,0.4349,1.9136,0.2395,97.71,1.814,Healthy
External,NASA_B0005,B0005,29,LiCoO2,CC,0.5091,0.2402,90.14,31.59,0.04,1.0086,0.4574,1.9026,0.2247,97.11,1.8028,Healthy
External,NASA_B0005,B0005,30,LiCoO2,CC,0.5055,0.228,90.2,31.6,0.04,1.008,0.4362,1.9131,0.2337,97.18,1.8041,Healthy
External,NASA_B0005,B0005,31,LiCoO2,CC,0.5088,0.2189,92.59,31.92,0.04,1.0084,0.4205,1.9206,0.2245,99.75,1.8518,Healthy
External,NASA_B0005,B0005,32,LiCoO2,CC,0.5027,0.2069,91.54,32.08,0.04,1.0092,0.3993,1.9299,0.2233,98.61,1.8307,Healthy
External,NASA_B0005,B0005,33,LiCoO2,CC,0.5014,0.2074,91.0,31.85,0.04,1.0083,0.4003,1.9293,0.221,98.03,1.8199,Healthy
External,NASA_B0005,B0005,34,LiCoO2,CC,0.5026,0.2149,90.47,31.47,0.04,1.0097,0.4135,1.9234,0.219,97.46,1.8093,Healthy
External,NASA_B0005,B0005,35,LiCoO2,CC,0.4996,0.2083,90.23,31.41,0.04,1.0079,0.4019,1.9285,0.2236,97.21,1.8046,Healthy
External,NASA_B0005,B0005,36,LiCoO2,CC,0.5016,0.2155,89.97,31.9,0.04,1.01,0.4145,1.9232,0.2207,96.92,1.7994,Healthy
External,NASA_B0005,B0005,37,LiCoO2,CC,0.502,0.2228,89.42,31.65,0.04,1.0083,0.4273,1.9171,0.2174,96.33,1.7884,Healthy
External,NASA_B0005,B0005,38,LiCoO2,CC,0.4995,0.2165,89.15,31.49,0.04,1.0086,0.4161,1.9221,0.2202,96.04,1.7829,Healthy
External,NASA_B0005,B0005,39,LiCoO2,CC,0.5006,0.2237,88.65,31.33,0.04,1.009,0.4289,1.9163,0.2171,95.5,1.773,Healthy
External,NASA_B0005,B0005,40,LiCoO2,CC,0.4985,0.217,88.65,31.57,0.04,1.0089,0.4173,1.9221,0.2242,95.5,1.773,Healthy
External,NASA_B0005,B0005,41,LiCoO2,CC,0.4999,0.2241,88.39,32.11,0.04,1.0084,0.4295,1.9163,0.2207,95.23,1.7679,Healthy
External,NASA_B0005,B0005,42,LiCoO2,CC,0.4993,0.2244,88.12,32.27,0.04,1.0086,0.4302,1.9159,0.2209,94.93,1.7623,Healthy
External,NASA_B0005,B0005,43,LiCoO2,CC,0.5015,0.2299,88.38,31.84,0.04,1.008,0.4394,1.9114,0.2249,95.21,1.7676,Healthy
External,NASA_B0005,B0005,44,LiCoO2,CC,0.4998,0.2244,88.13,31.76,0.04,1.0109,0.43,1.9158,0.2226,94.95,1.7627,Healthy
External,NASA_B0005,B0005,45,LiCoO2,CC,0.4982,0.2251,87.59,31.42,0.04,1.0085,0.431,1.9151,0.2213,94.36,1.7517,Healthy
External,NASA_B0005,B0005,46,LiCoO2,CC,0.4971,0.2257,87.09,31.33,0.04,1.0081,0.4323,1.9149,0.219,93.83,1.7418,Healthy
External,NASA_B0005,B0005,47,LiCoO2,CC,0.4965,0.226,86.8,31.36,0.04,1.0085,0.4328,1.9144,0.2211,93.51,1.7361,Healthy
External,NASA_B0005,B0005,48,LiCoO2,CC,0.4942,0.1945,89.68,34.31,0.04,1.0084,0.3773,1.9389,0.2269,96.61,1.7936,Healthy
External,NASA_B0005,B0005,49,LiCoO2,CC,0.4974,0.2096,89.16,33.44,0.04,1.0083,0.4041,1.9275,0.222,96.05,1.7832,Healthy
External,NASA_B0005,B0005,50,LiCoO2,CC,0.4963,0.2105,88.37,32.67,0.04,1.0112,0.4056,1.9267,0.2212,95.2,1.7674,Healthy
External,NASA_B0005,B0005,51,LiCoO2,CC,0.4946,0.2111,87.85,32.28,0.04,1.0084,0.4068,1.9262,0.2244,94.64,1.757,Healthy
External,NASA_B0005,B0005,52,LiCoO2,CC,0.4957,0.2187,87.34,32.01,0.04,1.0086,0.4202,1.9203,0.222,94.1,1.7469,Healthy
External,NASA_B0005,B0005,53,LiCoO2,CC,0.495,0.219,87.09,32.06,0.04,1.008,0.4206,1.9201,0.2262,93.82,1.7417,Healthy
External,NASA_B0005,B0005,54,LiCoO2,CC,0.4969,0.2261,86.82,32.44,0.04,1.0103,0.4329,1.9144,0.2264,93.53,1.7364,Healthy
External,NASA_B0005,B0005,55,LiCoO2,CC,0.4975,0.2333,86.32,32.17,0.04,1.0088,0.4454,1.9084,0.2256,92.99,1.7263,Healthy
External,NASA_B0005,B0005,56,LiCoO2,CC,0.4983,0.2405,85.79,32.06,0.04,1.0082,0.4575,1.9022,0.2226,92.42,1.7158,Healthy
External,NASA_B0005,B0005,57,LiCoO2,CC,0.4978,0.2409,85.53,31.98,0.04,1.0085,0.4582,1.9021,0.2244,92.14,1.7105,Healthy
External,NASA_B0005,B0005,58,LiCoO2,CC,0.4992,0.2475,85.3,32.22,0.04,1.0084,0.4695,1.8965,0.2252,91.89,1.706,Healthy
External,NASA_B0005,B0005,59,LiCoO2,CC,0.4989,0.2479,85.02,32.56,0.04,1.01,0.47,1.896,0.225,91.59,1.7003,Healthy
External,NASA_B0005,B0005,60,LiCoO2,CC,0.4998,0.2543,84.73,32.4,0.04,1.0082,0.4809,1.89,0.2276,91.28,1.6946,Healthy
External,NASA_B0005,B0005,61,LiCoO2,CC,0.4998,0.2552,84.25,32.29,0.04,1.0132,0.4823,1.8894,0.2254,90.76,1.6849,Healthy
External,NASA_B0005,B0005,62,LiCoO2,CC,0.5014,0.2678,83.72,32.14,0.04,1.0087,0.503,1.8777,0.222,90.2,1.6745,Healthy
External,NASA_B0005,B0005,63,LiCoO2,CC,0.5002,0.2619,83.73,32.38,0.04,1.0113,0.4936,1.8832,0.2275,90.2,1.6746,Healthy
External,NASA_B0005,B0005,64,LiCoO2,CC,0.5002,0.2687,83.19,32.31,0.04,1.0079,0.5045,1.8764,0.2245,89.62,1.6637,Degraded
External,NASA_B0005,B0005,65,LiCoO2,CC,0.5015,0.2749,82.95,32.57,0.04,1.0084,0.5144,1.871,0.2237,89.36,1.659,Degraded
External,NASA_B0005,B0005,66,LiCoO2,CC,0.5012,0.2753,82.69,32.47,0.04,1.0095,0.515,1.8706,0.2284,89.09,1.6539,Degraded
External,NASA_B0005,B0005,67,LiCoO2,CC,0.5017,0.2819,82.13,32.35,0.04,1.009,0.5255,1.864,0.224,88.48,1.6427,Degraded
External,NASA_B0005,B0005,68,LiCoO2,CC,0.501,0.2824,81.89,32.37,0.04,1.0079,0.5263,1.8637,0.2271,88.22,1.6379,Degraded
External,NASA_B0005,B0005,69,LiCoO2,CC,0.5025,0.2884,81.64,32.46,0.04,1.0096,0.536,1.8579,0.2267,87.95,1.6327,Degraded
External,NASA_B0005,B0005,70,LiCoO2,CC,0.5019,0.2889,81.39,32.5,0.04,1.0089,0.5366,1.8573,0.2293,87.68,1.6278,Degraded
External,NASA_B0005,B0005,71,LiCoO2,CC,0.5012,0.2894,81.11,32.5,0.04,1.0081,0.5375,1.8569,0.2307,87.38,1.6221,Degraded
External,NASA_B0005,B0005,72,LiCoO2,CC,0.5036,0.3012,80.57,32.47,0.04,1.0092,0.5559,1.8449,0.2248,86.79,1.6113,Degraded
External,NASA_B0005,B0005,73,LiCoO2,CC,0.5033,0.3018,80.33,32.5,0.04,1.01,0.5567,1.8445,0.2278,86.54,1.6066,Degraded
External,NASA_B0005,B0005,74,LiCoO2,CC,0.5025,0.3022,80.08,32.51,0.04,1.008,0.5574,1.8439,0.2305,86.27,1.6015,Degraded
External,NASA_B0005,B0005,75,LiCoO2,CC,0.5031,0.3086,79.52,32.46,0.04,1.0086,0.5671,1.8372,0.2255,85.67,1.5904,Degraded
External,NASA_B0005,B0005,76,LiCoO2,CC,0.5043,0.3143,79.29,32.45,0.04,1.0088,0.5758,1.8316,0.2284,85.42,1.5858,Degraded
External,NASA_B0005,B0005,77,LiCoO2,CC,0.5041,0.3144,79.25,32.33,0.04,1.0082,0.5759,1.8312,0.2312,85.37,1.5849,Degraded
External,NASA_B0005,B0005,78,LiCoO2,CC,0.5019,0.3027,79.78,32.84,0.04,1.0082,0.5582,1.8433,0.2292,85.94,1.5955,Degraded
External,NASA_B0005,B0005,79,LiCoO2,CC,0.5031,0.3154,78.74,32.32,0.04,1.008,0.5773,1.8298,0.2272,84.82,1.5747,Degraded
External,NASA_B0005,B0005,80,LiCoO2,CC,0.5039,0.3217,78.25,32.06,0.04,1.0088,0.5869,1.8237,0.2273,84.29,1.5649,Degraded
External,NASA_B0005,B0005,81,LiCoO2,CC,0.505,0.3274,77.99,32.22,0.04,1.0092,0.5952,1.8177,0.2285,84.02,1.5598,Degraded
External,NASA_B0005,B0005,82,LiCoO2,CC,0.5048,0.3274,77.97,32.71,0.04,1.0084,0.5952,1.818,0.2314,84.0,1.5595,Degraded
External,NASA_B0005,B0005,83,LiCoO2,CC,0.5046,0.3278,77.73,32.95,0.04,1.0098,0.5961,1.8173,0.2306,83.74,1.5547,Degraded
External,NASA_B0005,B0005,84,LiCoO2,CC,0.5062,0.3336,77.44,32.86,0.04,1.0125,0.6042,1.8111,0.233,83.43,1.5489,Degraded
External,NASA_B0005,B0005,85,LiCoO2,CC,0.5044,0.3347,76.91,32.63,0.04,1.0086,0.606,1.8095,0.2307,82.86,1.5382,Degraded
External,NASA_B0005,B0005,86,LiCoO2,CC,0.5053,0.341,76.4,32.38,0.04,1.0102,0.6147,1.8027,0.2289,82.3,1.5279,Degraded
External,NASA_B0005,B0005,87,LiCoO2,CC,0.505,0.3409,76.43,32.68,0.04,1.0084,0.6148,1.8032,0.2324,82.33,1.5285,Degraded
External,NASA_B0005,B0005,88,LiCoO2,CC,0.506,0.3464,76.13,32.99,0.04,1.0085,0.6225,1.7966,0.228,82.02,1.5226,Degraded
External,NASA_B0005,B0005,89,LiCoO2,CC,0.5055,0.347,75.87,33.05,0.04,1.0089,0.6233,1.796,0.2281,81.74,1.5175,Degraded
External,NASA_B0005,B0005,90,LiCoO2,CC,0.5092,0.3225,80.29,32.86,0.04,1.0085,0.5881,1.8229,0.2346,86.5,1.6058,Degraded
External,NASA_B0005,B0005,91,LiCoO2,CC,0.5022,0.3164,78.19,33.34,0.04,1.0089,0.579,1.8295,0.2343,84.24,1.5638,Degraded
