Source,Dataset,ID,Cycle,Chemistry,Profile,FSI,KI,DoD_%,T_avg_C,T_stress_norm,C_peak_norm,DCSS,RBF,CVI,SoH_%,Q_Ah,Health_Label
External,Oxford_BMP,Oxford_BMP_C1,1,NMC,BMP,0.5492,0.5036,100.0,20.04,0.1983,0.4926,2.3004,4.5683,0.2584,100.0,17.2364,Healthy
External,Oxford_BMP,Oxford_BMP_C1,2,NMC,BMP,0.5547,0.5006,99.49,19.27,0.2291,0.4926,2.3915,4.7777,1.1656,99.49,17.1377,Healthy
External,Oxford_BMP,Oxford_BMP_C1,3,NMC,BMP,0.6943,0.595,99.4,17.98,0.2809,0.9852,3.6074,6.0627,1.434,99.4,17.1226,Healthy
External,Oxford_BMP,Oxford_BMP_C1,4,NMC,BMP,0.7383,0.7412,99.09,17.89,0.2846,0.9853,4.7617,6.4239,0.9433,99.09,17.069,Healthy
External,Oxford_BMP,Oxford_BMP_C1,5,NMC,BMP,0.7622,0.7791,99.04,16.62,0.3354,0.9853,4.4403,5.6996,0.2608,99.04,17.0606,Healthy
External,Oxford_BMP,Oxford_BMP_C1,6,NMC,BMP,0.5711,0.5085,98.82,17.7,0.2918,0.4926,1.5516,3.0514,0.2327,98.82,17.0232,Healthy
External,Oxford_BMP,Oxford_BMP_C1,7,NMC,BMP,0.5033,0.4598,98.71,19.71,0.2115,0.3284,1.2033,2.6171,0.2471,98.71,17.003,Healthy
External,Oxford_BMP,Oxford_BMP_C1,8,NMC,BMP,0.5727,0.5699,98.56,19.31,0.2274,0.4926,1.6904,2.9661,0.2424,98.56,16.9779,Healthy
External,Oxford_BMP,Oxford_BMP_C1,9,NMC,BMP,0.6978,0.6715,98.47,19.68,0.2126,0.9853,2.7522,4.0983,0.2496,98.47,16.9619,Healthy
External,Oxford_BMP,Oxford_BMP_C1,10,NMC,BMP,0.7314,0.7803,97.86,19.44,0.2223,0.9853,3.8079,4.8801,0.2625,97.86,16.8567,Healthy
External,Oxford_BMP,Oxford_BMP_C1,11,NMC,BMP,0.5306,0.4686,97.69,20.27,0.189,0.4926,1.8884,4.0303,0.2748,97.69,16.8273,Healthy
External,Oxford_BMP,Oxford_BMP_C1,12,NMC,BMP,0.5332,0.4524,97.53,19.49,0.2206,0.4926,1.8445,4.0774,0.2635,97.53,16.7994,Healthy
External,Oxford_BMP,Oxford_BMP_C2,1,NMC,BMP,0.5488,0.5017,100.0,20.0,0.1999,0.4916,2.3117,4.6077,0.2583,100.0,17.2642,Healthy
External,Oxford_BMP,Oxford_BMP_C2,2,NMC,BMP,0.5546,0.506,99.46,19.42,0.2231,0.4916,2.4258,4.7939,1.1734,99.46,17.168,Healthy
External,Oxford_BMP,Oxford_BMP_C2,3,NMC,BMP,0.6948,0.5993,99.41,18.01,0.2795,0.9832,3.6321,6.0604,1.4321,99.41,17.1599,Healthy
External,Oxford_BMP,Oxford_BMP_C2,4,NMC,BMP,0.7396,0.7463,99.05,17.85,0.2859,0.9832,4.7774,6.4017,0.9511,99.05,17.0977,Healthy
External,Oxford_BMP,Oxford_BMP_C2,5,NMC,BMP,0.7529,0.7951,99.05,17.98,0.2806,0.9832,4.5041,5.6647,0.2625,99.05,17.0969,Healthy
External,Oxford_BMP,Oxford_BMP_C2,6,NMC,BMP,0.5714,0.5008,98.8,17.41,0.3034,0.4916,1.5119,3.0189,0.2334,98.8,17.0538,Healthy
External,Oxford_BMP,Oxford_BMP_C2,7,NMC,BMP,0.5009,0.4339,98.67,19.15,0.2339,0.3277,1.1169,2.5738,0.2494,98.67,17.0317,Healthy
External,Oxford_BMP,Oxford_BMP_C2,8,NMC,BMP,0.5868,0.5687,98.49,17.84,0.2865,0.4916,1.6716,2.9394,0.2412,98.49,17.0012,Healthy
External,Oxford_BMP,Oxford_BMP_C2,9,NMC,BMP,0.7249,0.6763,98.46,17.08,0.317,0.9832,2.764,4.0868,0.2454,98.46,16.996,Healthy
External,Oxford_BMP,Oxford_BMP_C2,10,NMC,BMP,0.747,0.7887,97.95,18.11,0.2756,0.9832,3.9063,4.9532,0.2593,97.95,16.9079,Healthy
External,Oxford_BMP,Oxford_BMP_C2,11,NMC,BMP,0.5518,0.4632,97.73,17.98,0.2808,0.4916,1.8811,4.0608,0.274,97.73,16.8703,Healthy
External,Oxford_BMP,Oxford_BMP_C2,12,NMC,BMP,0.563,0.4516,97.56,16.47,0.3413,0.4916,1.8562,4.1103,0.2632,97.56,16.8402,Healthy
External,Oxford_BMR,Oxford_BMR_C1,1,NMC,BMR,0.7421,0.302,99.54,11.79,0.5284,1.353,4.385,14.5205,0.5875,99.54,17.1464,Healthy
External,Oxford_BMR,Oxford_BMR_C1,2,NMC,BMR,0.7347,0.3153,98.88,11.71,0.5314,1.3002,4.4767,14.1982,1.1583,98.88,17.0325,Healthy
External,Oxford_BMR,Oxford_BMR_C1,3,NMC,BMR,0.765,0.3472,98.07,11.47,0.5412,1.4018,4.8267,13.9028,1.4306,98.07,16.8939,Healthy
External,Oxford_BMR,Oxford_BMR_C1,4,NMC,BMR,0.7708,0.3979,97.3,11.08,0.5569,1.3447,5.2507,13.1965,1.0646,97.3,16.76,Healthy
External,Oxford_BMR,Oxford_BMR_C1,5,NMC,BMR,0.797,0.4165,96.31,10.67,0.5732,1.4398,5.4351,13.0505,0.6178,96.31,16.5899,Healthy
External,Oxford_BMR,Oxford_BMR_C1,6,NMC,BMR,0.78,0.4342,95.12,11.0,0.5602,1.3597,5.6639,13.0458,0.6205,95.12,16.3847,Healthy
External,Oxford_BMR,Oxford_BMR_C1,7,NMC,BMR,0.7773,0.4556,93.69,11.85,0.526,1.3742,5.7939,12.7168,0.6246,93.69,16.139,Healthy
External,Oxford_BMR,Oxford_BMR_C1,8,NMC,BMR,0.7698,0.4613,92.2,11.84,0.5265,1.3464,5.8042,12.5828,0.6263,92.2,15.8818,Healthy
